status,payee,nickname,payment_date,recurring_date,payment_amount
demand-driven,kpatterson0,jparker0,6/15/2016,4,Ruble
Polarised,aedwards1,jwhite1,9/27/2015,11,Ruble
attitude-oriented,ahernandez2,aruiz2,7/27/2016,11,Tugrik
logistical,nmills3,carnold3,2/28/2016,11,Yuan Renminbi
discrete,kpowell4,lcampbell4,3/5/2016,4,Dinar
middleware,jlawrence5,pwashington5,8/28/2016,6,Rupiah
Vision-oriented,hbrown6,nhansen6,12/10/2015,5,Ruble
Open-architected,pmartinez7,lrice7,7/25/2016,9,Yuan Renminbi
solution,jmurray8,dcooper8,12/2/2015,4,Dinar
Exclusive,tbarnes9,lmyers9,6/10/2016,4,Peso
access,ewilliamsona,mlewisa,8/20/2016,6,Yuan Renminbi
Vision-oriented,dperkinsb,kpowellb,7/23/2016,5,Euro
analyzer,daustinc,mgibsonc,1/9/2016,1,Rial
Ergonomic,gdixond,ncrawfordd,11/10/2015,5,Real
complexity,lgriffine,kscotte,8/5/2016,4,Yuan Renminbi
zero administration,aaustinf,gstonef,5/30/2016,7,Dinar
multi-state,wgriffing,jmontgomeryg,8/16/2016,7,Baht
benchmark,kruizh,lduncanh,3/24/2016,6,Ringgit
archive,jgreeni,rgonzalesi,9/16/2015,8,Shilling
explicit,jstevensj,tjacksonj,2/22/2016,8,Yuan Renminbi
functionalities,cedwardsk,astewartk,10/7/2015,5,Rupiah
zero administration,whudsonl,jmartinezl,10/13/2015,5,Baht
non-volatile,cwelchm,rhamiltonm,1/1/2016,5,Yuan Renminbi
Profound,mhartn,rwrightn,6/19/2016,9,Ruble
Synergized,hhanseno,kjacobso,7/21/2016,11,Krona
Switchable,asandersp,rrosep,9/27/2015,1,Rupiah
systemic,dmasonq,bcarrollq,2/26/2016,6,Ringgit
3rd generation,clynchr,dblackr,11/14/2015,1,Krona
knowledge user,rromeros,kolivers,5/2/2016,5,Zloty
foreground,dhudsont,dcollinst,6/25/2016,8,Rupee
Multi-lateral,acunninghamu,nlawrenceu,3/16/2016,12,Peso
hub,mfosterv,mkelleyv,6/29/2016,10,Dollar
asymmetric,rlanew,rstonew,3/25/2016,4,Rupiah
local area network,dolsonx,kdiazx,6/20/2016,8,Yuan Renminbi
Multi-tiered,jrobertsy,rolsony,10/27/2015,1,Krona
optimizing,sfergusonz,gwellsz,6/27/2016,3,Krona
installation,dpayne10,swells10,1/10/2016,11,Lempira
value-added,dporter11,llopez11,9/25/2015,1,Franc
neutral,jdean12,ksimpson12,6/28/2016,4,Zloty
Re-engineered,jdaniels13,ewhite13,11/6/2015,10,Euro
Ergonomic,eromero14,fparker14,12/22/2015,7,Krona
Organic,lfowler15,jwatkins15,5/1/2016,5,Yuan Renminbi
analyzing,dclark16,maustin16,3/16/2016,5,Yuan Renminbi
firmware,gkennedy17,djones17,10/6/2015,9,Rupiah
user-facing,lmontgomery18,dfranklin18,2/5/2016,11,Rupee
reciprocal,ryoung19,ameyer19,1/11/2016,4,Rial
3rd generation,ebrooks1a,jpeters1a,8/25/2016,4,Real
Inverse,wlewis1b,aday1b,10/26/2015,12,Krona
productivity,cturner1c,bryan1c,8/14/2016,2,Rupiah
Profound,farnold1d,kfisher1d,11/1/2015,8,Yen
actuating,lblack1e,mrobertson1e,1/31/2016,5,Hryvnia
optimizing,hwagner1f,cpeterson1f,12/30/2015,2,Dollar
budgetary management,acarter1g,jhughes1g,8/10/2016,1,Yuan Renminbi
encompassing,jferguson1h,alawrence1h,12/3/2015,2,Real
clear-thinking,callen1i,dgrant1i,5/6/2016,12,Shilling
budgetary management,eholmes1j,lfernandez1j,12/25/2015,3,Rupiah
productivity,acarr1k,jday1k,7/18/2016,10,Peso
website,fdean1l,sdavis1l,1/19/2016,5,Yuan Renminbi
Vision-oriented,msanchez1m,rmiller1m,10/26/2015,1,Yuan Renminbi
Phased,dhayes1n,kevans1n,8/19/2016,10,Rupiah
structure,afuller1o,jhart1o,9/25/2015,4,Euro
exuding,gferguson1p,malvarez1p,4/16/2016,6,Yuan Renminbi
architecture,tgreen1q,pandrews1q,9/23/2015,12,Peso
methodology,nwood1r,srichardson1r,9/3/2016,7,Euro
tertiary,dharrison1s,soliver1s,3/19/2016,7,Peso
regional,hcruz1t,ccollins1t,6/30/2016,9,Euro
mobile,rsnyder1u,nmartinez1u,3/11/2016,7,Cordoba
system-worthy,dwells1v,swalker1v,1/6/2016,6,Krona
Switchable,llarson1w,dmedina1w,7/23/2016,8,Yuan Renminbi
object-oriented,acollins1x,jramos1x,4/7/2016,4,Yuan Renminbi
installation,ahenry1y,jgarza1y,4/18/2016,12,Yuan Renminbi
moratorium,dpowell1z,tmurphy1z,4/2/2016,10,Rupiah
object-oriented,eellis20,rnelson20,11/18/2015,10,Lempira
Graphic Interface,lallen21,ajacobs21,4/13/2016,9,Krone
Cross-platform,ghudson22,eford22,9/23/2015,10,Franc
bottom-line,hjacobs23,sgraham23,9/17/2015,7,Euro
Right-sized,ahughes24,gporter24,11/26/2015,4,Peso
demand-driven,mburke25,hwebb25,9/27/2015,2,Quetzal
6th generation,rlopez26,nmorgan26,8/11/2016,4,Euro
5th generation,sjenkins27,jreid27,11/30/2015,6,Peso
infrastructure,kstewart28,clawrence28,2/9/2016,8,Real
collaboration,cevans29,tcole29,11/25/2015,6,Dollar
heuristic,lmedina2a,jcole2a,6/20/2016,12,Afghani
database,cfuller2b,dmills2b,1/4/2016,7,Baht
eco-centric,cfoster2c,dmeyer2c,5/28/2016,9,Yuan Renminbi
Team-oriented,phawkins2d,mdean2d,8/1/2016,11,Rupiah
systematic,lolson2e,tjames2e,7/28/2016,11,Euro
solution,kdean2f,csanders2f,2/10/2016,8,Kyat
Profit-focused,mwells2g,kwatkins2g,12/3/2015,9,Rupiah
Down-sized,rwelch2h,bmorris2h,3/3/2016,6,Peso
web-enabled,kshaw2i,mdaniels2i,5/31/2016,8,Yuan Renminbi
productivity,harmstrong2j,jmiller2j,2/17/2016,8,Krona
neural-net,eharris2k,cmason2k,3/6/2016,4,Zloty
Centralized,jgibson2l,mhoward2l,3/24/2016,11,Rial
product,jlong2m,ktorres2m,5/20/2016,5,Kuna
Automated,dsimmons2n,ccole2n,3/9/2016,6,Dollar
Ameliorated,mmurray2o,jholmes2o,6/13/2016,9,Peso
foreground,areed2p,jgardner2p,11/13/2015,1,Yuan Renminbi
disintermediate,dfowler2q,dbryant2q,1/18/2016,4,Leone
firmware,mjordan2r,tlynch2r,8/30/2016,4,Afghani
high-level,rmcdonald2s,wwood2s,6/3/2016,11,Dinar
Implemented,kromero2t,dadams2t,1/3/2016,10,Franc
motivating,druiz2u,dday2u,6/14/2016,3,Yuan Renminbi
hierarchy,jfranklin2v,awoods2v,5/8/2016,9,Rupiah
multi-state,aandrews2w,mking2w,5/24/2016,4,Rupiah
grid-enabled,rbell2x,jrice2x,11/24/2015,7,Baht
next generation,mandrews2y,egomez2y,3/24/2016,3,Kuna
Graphic Interface,lrice2z,hmills2z,2/13/2016,3,Rupiah
productivity,rwood30,nfox30,1/26/2016,10,Dollar
hub,jpeterson31,rwallace31,1/19/2016,5,Dollar
encryption,rcarr32,hmyers32,7/23/2016,7,Peso
leverage,jdiaz33,bmontgomery33,10/29/2015,7,Real
definition,plane34,sfrazier34,5/26/2016,8,Rupiah
Devolved,jhunter35,scarr35,7/23/2016,10,Krona
bandwidth-monitored,mromero36,mmiller36,5/21/2016,9,Rupiah
homogeneous,tmurray37,twillis37,10/2/2015,9,Ruble
synergy,cwood38,jholmes38,2/17/2016,1,Yuan Renminbi
software,rhowell39,lwilson39,8/31/2016,1,Peso
synergy,pberry3a,galvarez3a,4/22/2016,9,Baht
website,amorris3b,mnichols3b,4/5/2016,2,Euro
Self-enabling,rmorgan3c,rbryant3c,3/9/2016,8,Rupee
Switchable,rmeyer3d,ngilbert3d,11/25/2015,7,Krona
uniform,cmorales3e,jellis3e,9/25/2015,6,Euro
explicit,pcarroll3f,agriffin3f,4/1/2016,8,Yuan Renminbi
Graphic Interface,dreid3g,lvasquez3g,11/1/2015,1,Yuan Renminbi
client-server,rmorgan3h,jwatson3h,1/10/2016,7,Yuan Renminbi
leading edge,lpatterson3i,cbutler3i,6/29/2016,11,Yuan Renminbi
access,bthompson3j,chicks3j,10/14/2015,2,Ruble
open architecture,dwells3k,jdaniels3k,4/3/2016,9,Tenge
neural-net,mrussell3l,jrichardson3l,1/11/2016,6,Rial
Expanded,rnichols3m,jstanley3m,6/12/2016,11,Rupiah
optimal,aramos3n,cwhite3n,8/11/2016,2,Baht
success,eramirez3o,rcox3o,9/9/2016,12,Ruble
Monitored,jreynolds3p,jjohnston3p,11/17/2015,4,Ruble
systematic,jstone3q,ajames3q,4/23/2016,11,Dollar
hybrid,ggilbert3r,rrose3r,10/8/2015,1,Ruble
Implemented,lpierce3s,fweaver3s,3/2/2016,2,Dollar
Ergonomic,jfields3t,jbrown3t,12/5/2015,7,Krona
challenge,agriffin3u,dlewis3u,2/2/2016,10,Euro
paradigm,pmedina3v,rcoleman3v,10/17/2015,8,Dirham
Front-line,lknight3w,tmontgomery3w,7/28/2016,7,Franc
3rd generation,cramos3x,gstevens3x,12/3/2015,8,Ruble
Intuitive,jharrison3y,jlawson3y,7/15/2016,11,Dinar
Object-based,bray3z,khunt3z,8/11/2016,4,Koruna
zero defect,hperry40,csullivan40,2/9/2016,4,Taka
groupware,pharris41,hgreen41,3/18/2016,7,Ruble
Reduced,bross42,dalvarez42,9/16/2015,6,Won
standardization,rlane43,slee43,12/15/2015,5,Rupiah
artificial intelligence,mferguson44,jkelley44,9/10/2015,10,Baht
firmware,kgrant45,jking45,10/20/2015,7,Peso
Synergistic,ewhite46,rgibson46,8/18/2016,11,Peso
capability,solson47,lbennett47,2/27/2016,8,Peso
pricing structure,cthomas48,gnelson48,9/14/2015,3,Taka
radical,abishop49,ebaker49,6/22/2016,6,Lev
homogeneous,rcarroll4a,mfuller4a,11/25/2015,12,Yen
asymmetric,cmatthews4b,melliott4b,6/2/2016,12,Krone
Adaptive,blewis4c,idiaz4c,7/22/2016,3,Baht
client-server,esullivan4d,mbarnes4d,11/9/2015,2,Euro
encompassing,creid4e,kscott4e,5/19/2016,1,Krona
Extended,sross4f,sross4f,8/2/2016,3,Koruna
migration,vknight4g,dpowell4g,9/11/2015,8,Rupiah
Organic,erichardson4h,wcarr4h,5/7/2016,1,Euro
Public-key,ecruz4i,rmorgan4i,3/26/2016,3,Euro
flexibility,jgriffin4j,wwallace4j,8/29/2016,3,Dollar
parallelism,wtorres4k,shill4k,5/6/2016,7,Real
3rd generation,agraham4l,kschmidt4l,9/26/2015,5,Yen
client-server,jdavis4m,dwhite4m,9/13/2015,3,Dollar
website,jwoods4n,jwhite4n,12/29/2015,12,Yuan Renminbi
global,hreyes4o,jhayes4o,4/11/2016,6,Euro
Up-sized,sberry4p,slong4p,10/6/2015,4,Yuan Renminbi
well-modulated,dmoreno4q,djenkins4q,6/14/2016,7,Yuan Renminbi
intranet,ccarr4r,mmeyer4r,3/8/2016,10,Euro
intermediate,ephillips4s,rvasquez4s,2/19/2016,5,Yuan Renminbi
installation,rstanley4t,jaustin4t,1/11/2016,2,Dollar
system engine,hgreene4u,cwoods4u,9/26/2015,3,Peso
frame,calvarez4v,amatthews4v,4/15/2016,2,Yuan Renminbi
Profit-focused,blittle4w,lharper4w,5/5/2016,2,Pound
project,ljordan4x,ngriffin4x,3/22/2016,11,Ruble
Visionary,iburns4y,bromero4y,5/25/2016,3,Euro
Proactive,treid4z,sgreene4z,4/1/2016,4,Euro
background,crogers50,jfox50,7/7/2016,2,Dollar
product,ayoung51,jgreen51,3/16/2016,7,Rupiah
disintermediate,cgordon52,svasquez52,2/17/2016,10,Rial
Realigned,tcruz53,rreyes53,9/29/2015,4,Real
Upgradable,kmoreno54,swatkins54,7/2/2016,8,Yuan Renminbi
extranet,jryan55,iday55,3/5/2016,12,Euro
tangible,jholmes56,crobinson56,12/9/2015,8,Peso
Enterprise-wide,cmorrison57,aperkins57,1/25/2016,6,Real
methodology,redwards58,wwillis58,5/4/2016,9,Franc
workforce,iowens59,jperkins59,6/22/2016,5,Ruble
monitoring,sharrison5a,eford5a,1/26/2016,4,Rupiah
explicit,tbowman5b,jgriffin5b,8/23/2016,7,Euro
Cross-platform,jwatson5c,lthompson5c,4/14/2016,3,Lempira
6th generation,lcarpenter5d,rhunter5d,8/8/2016,11,Euro
productivity,jwilliamson5e,tellis5e,4/20/2016,5,Rupiah
Organic,jphillips5f,mdean5f,3/26/2016,4,Ruble
Stand-alone,slewis5g,chall5g,1/31/2016,2,Litas
demand-driven,talexander5h,hharris5h,8/5/2016,6,Yuan Renminbi
budgetary management,bbryant5i,lpayne5i,1/25/2016,11,Ruble
portal,bthomas5j,lmatthews5j,6/3/2016,10,Afghani
modular,cmyers5k,mgarrett5k,10/24/2015,6,Euro
Reduced,cweaver5l,jalvarez5l,2/6/2016,6,Shilling
fresh-thinking,swoods5m,jfreeman5m,3/26/2016,4,Rand
Centralized,lhayes5n,tcoleman5n,8/28/2016,9,Kuna
value-added,kmason5o,pjohnson5o,5/4/2016,9,Yuan Renminbi
uniform,rcollins5p,hfields5p,3/31/2016,3,Zloty
Graphical User Interface,sford5q,sgeorge5q,9/19/2015,7,Koruna
Realigned,kmyers5r,dgilbert5r,6/24/2016,3,Birr
Innovative,bspencer5s,wruiz5s,6/27/2016,9,Yuan Renminbi
scalable,spierce5t,dalexander5t,2/17/2016,7,Lempira
productivity,agibson5u,hcook5u,1/21/2016,5,Krona
human-resource,rfranklin5v,bstanley5v,6/11/2016,4,Euro
adapter,hrogers5w,kjohnston5w,5/19/2016,3,Leone
instruction set,bnichols5x,clynch5x,9/17/2015,11,Euro
