medium,transaction_date,amount,description
standardization,4/16/2016,$9.36,nisi eu orci mauris lacinia sapien quis libero nullam sit
success,12/17/2015,$3.77,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
contingency,12/23/2015,$3.25,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
Proactive,10/18/2015,$1.65,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
optimal,7/30/2016,$5.88,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
Focused,10/15/2015,$8.27,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
Expanded,6/20/2016,$2.48,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
Function-based,11/27/2015,$0.69,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
Organized,12/21/2015,$8.95,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
exuding,4/19/2016,$3.03,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
productivity,1/8/2016,$6.78,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
policy,3/18/2016,$0.29,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
User-friendly,4/10/2016,$5.98,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
Enterprise-wide,12/2/2015,$1.06,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
Automated,10/19/2015,$3.87,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
value-added,2/20/2016,$5.86,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
Synergistic,6/3/2016,$7.21,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
User-centric,3/10/2016,$7.59,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
database,7/28/2016,$4.37,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
frame,11/17/2015,$5.39,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque
local,3/16/2016,$7.18,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
interactive,2/18/2016,$9.30,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien
Object-based,1/26/2016,$2.86,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
Fully-configurable,3/23/2016,$2.49,ornare consequat lectus in est risus auctor sed tristique in tempus
support,5/11/2016,$0.85,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
Customizable,1/22/2016,$2.54,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
Decentralized,12/18/2015,$5.61,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo
conglomeration,3/16/2016,$1.52,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
Visionary,1/30/2016,$5.57,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
firmware,2/26/2016,$1.27,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
modular,10/3/2015,$1.93,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
concept,3/13/2016,$7.96,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
Cloned,1/11/2016,$9.80,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
methodology,2/24/2016,$6.93,rutrum neque aenean auctor gravida sem praesent id massa id nisl
interactive,4/16/2016,$7.67,sed magna at nunc commodo placerat praesent blandit nam nulla integer
instruction set,2/26/2016,$8.10,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
focus group,9/30/2015,$1.68,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
adapter,11/30/2015,$4.02,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
methodical,11/18/2015,$0.76,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
leverage,7/10/2016,$7.55,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
modular,6/3/2016,$2.24,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
solution-oriented,5/11/2016,$1.85,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
radical,2/4/2016,$5.35,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
Versatile,1/12/2016,$9.77,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
knowledge user,7/2/2016,$4.39,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
interactive,1/16/2016,$4.54,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
modular,4/25/2016,$0.45,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
multimedia,6/14/2016,$2.79,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
open system,5/10/2016,$9.31,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
Business-focused,5/20/2016,$4.09,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
non-volatile,4/21/2016,$2.30,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
exuding,9/30/2015,$8.74,sapien non mi integer ac neque duis bibendum morbi non quam nec
standardization,11/20/2015,$4.27,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
background,2/22/2016,$7.05,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Robust,3/29/2016,$2.56,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
responsive,11/12/2015,$8.52,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
modular,3/11/2016,$5.50,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
fault-tolerant,1/29/2016,$1.85,sapien a libero nam dui proin leo odio porttitor id consequat in consequat
empowering,1/14/2016,$6.91,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
reciprocal,10/31/2015,$1.26,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Expanded,2/19/2016,$5.83,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
workforce,6/11/2016,$3.93,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
Universal,11/29/2015,$8.70,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
Profound,2/9/2016,$1.84,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
Reduced,3/23/2016,$6.08,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
Advanced,12/10/2015,$2.39,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
superstructure,11/19/2015,$2.10,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
productivity,6/8/2016,$1.40,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
foreground,8/22/2016,$5.59,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
coherent,12/30/2015,$8.41,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
methodical,5/28/2016,$3.90,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
high-level,5/5/2016,$0.65,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
hub,10/19/2015,$3.59,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
throughput,1/1/2016,$5.64,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
demand-driven,11/3/2015,$7.56,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
eco-centric,8/28/2016,$3.64,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
help-desk,4/4/2016,$2.15,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
Profit-focused,1/27/2016,$5.01,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
emulation,4/30/2016,$1.42,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
mobile,11/15/2015,$0.46,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
Progressive,10/3/2015,$7.40,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
Cross-group,8/24/2016,$9.58,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
success,1/9/2016,$5.95,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
dedicated,6/22/2016,$2.22,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
3rd generation,5/18/2016,$6.64,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
multi-tasking,12/2/2015,$2.22,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
Persevering,10/8/2015,$5.65,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
composite,8/28/2016,$6.74,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
Innovative,1/25/2016,$6.44,id luctus nec molestie sed justo pellentesque viverra pede ac
open architecture,12/24/2015,$8.26,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
reciprocal,12/17/2015,$5.93,nisl duis bibendum felis sed interdum venenatis turpis enim blandit
Horizontal,12/20/2015,$8.64,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
non-volatile,10/15/2015,$4.83,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
Extended,3/26/2016,$9.91,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
contingency,3/30/2016,$7.61,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
Progressive,10/1/2015,$8.64,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
hybrid,6/30/2016,$4.90,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
array,9/30/2015,$4.45,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Reactive,12/17/2015,$9.94,proin at turpis a pede posuere nonummy integer non velit donec diam neque
strategy,10/20/2015,$8.49,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
mission-critical,5/15/2016,$4.92,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
actuating,6/7/2016,$4.59,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
Re-engineered,10/25/2015,$6.60,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
system-worthy,6/14/2016,$6.23,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
capability,8/15/2016,$8.28,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
contingency,1/3/2016,$9.25,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
non-volatile,10/5/2015,$3.31,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
heuristic,7/13/2016,$0.31,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
actuating,3/29/2016,$3.88,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer
full-range,9/9/2016,$8.48,sed accumsan felis ut at dolor quis odio consequat varius integer ac
infrastructure,5/13/2016,$6.19,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
function,11/3/2015,$8.99,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Programmable,7/20/2016,$4.46,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
protocol,12/18/2015,$8.73,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
bottom-line,1/23/2016,$3.72,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
User-friendly,9/2/2016,$6.08,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
