merchant_id,medium,purchase_date,amount,description
44-912-7212,groupware,6/15/2016,$99178.69,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
69-282-3039,concept,7/19/2016,$91942.50,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
51-348-5122,Pre-emptive,2/12/2016,$52839.41,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
64-304-8747,capacity,6/29/2016,$85683.17,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
39-094-6288,benchmark,5/4/2016,$66351.58,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
22-340-7269,open system,11/25/2015,$39336.63,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
36-683-2336,Ameliorated,3/26/2016,$73253.67,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
84-590-7059,6th generation,8/12/2016,$15311.70,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
28-713-2032,homogeneous,8/13/2016,$35191.30,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
98-294-1127,real-time,7/2/2016,$37882.81,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
05-077-5474,policy,12/15/2015,$88963.08,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
81-926-6500,Horizontal,9/5/2016,$47693.91,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
52-347-4879,grid-enabled,9/28/2015,$83589.78,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in
95-585-3770,attitude-oriented,8/16/2016,$30420.18,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
51-063-0493,asynchronous,1/19/2016,$82914.12,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
98-418-7458,pricing structure,10/4/2015,$36365.39,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
75-266-6378,3rd generation,9/11/2015,$65545.88,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
59-921-9112,Sharable,11/30/2015,$74727.63,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
44-989-8856,Public-key,9/20/2015,$90449.90,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
02-934-2217,hub,11/1/2015,$85236.93,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
93-818-1745,application,2/2/2016,$58569.79,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
88-309-4960,contingency,8/10/2016,$76794.25,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu
87-646-7761,framework,5/21/2016,$87768.45,vel nisl duis ac nibh fusce lacus purus aliquet at
29-351-8698,foreground,6/13/2016,$21068.09,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
65-306-8241,Grass-roots,10/27/2015,$11993.15,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
05-899-9463,Fundamental,2/24/2016,$97911.73,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
28-706-0329,Cross-platform,3/15/2016,$50741.00,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
60-364-4189,system engine,1/14/2016,$91639.57,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
45-099-3864,Visionary,6/25/2016,$83185.42,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
72-204-9704,matrices,2/18/2016,$59461.28,vulputate elementum nullam varius nulla facilisi cras non velit nec
25-029-6314,contextually-based,10/25/2015,$68073.10,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
10-491-1602,solution,3/28/2016,$61552.52,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
69-183-6912,Horizontal,4/22/2016,$312.08,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
96-479-2803,3rd generation,9/6/2016,$13310.85,ut tellus nulla ut erat id mauris vulputate elementum nullam
17-513-1811,service-desk,11/9/2015,$77896.65,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
62-561-5369,groupware,1/28/2016,$22879.51,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
94-636-0489,Compatible,2/9/2016,$8084.67,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
39-750-3275,even-keeled,8/7/2016,$51645.54,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
75-336-1796,intranet,11/4/2015,$80627.08,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
45-812-3235,Persevering,10/3/2015,$68006.35,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
26-048-6411,client-server,8/25/2016,$20060.45,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
20-596-5958,strategy,3/8/2016,$66881.92,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
62-806-3900,intangible,7/28/2016,$4301.84,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
63-244-7886,Versatile,5/9/2016,$29011.92,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
30-402-5508,heuristic,9/4/2016,$62866.95,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
50-700-1926,homogeneous,8/24/2016,$20939.35,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
50-952-8826,Automated,6/4/2016,$79793.93,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
96-513-1872,Reverse-engineered,12/12/2015,$17163.01,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
58-673-9124,content-based,6/14/2016,$6321.93,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
41-220-5648,system-worthy,4/1/2016,$20027.62,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
90-071-5040,Ergonomic,2/7/2016,$94153.75,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
09-216-8254,Up-sized,6/17/2016,$82680.12,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
63-373-7611,neutral,12/21/2015,$5179.03,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
81-870-6857,system-worthy,4/3/2016,$79316.54,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
46-807-9171,analyzing,3/15/2016,$50885.24,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo
27-074-8297,Automated,10/15/2015,$43668.73,libero quis orci nullam molestie nibh in lectus pellentesque at nulla
46-729-6307,Reduced,8/6/2016,$85322.37,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
92-978-5106,24/7,5/26/2016,$13502.09,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
57-251-8391,Object-based,2/9/2016,$30281.59,nunc purus phasellus in felis donec semper sapien a libero nam
01-081-8041,holistic,9/12/2015,$93180.01,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
81-829-7455,national,4/15/2016,$1606.22,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
59-534-7099,encryption,6/11/2016,$48471.38,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
26-600-8476,3rd generation,1/25/2016,$14539.25,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
27-940-3538,emulation,1/29/2016,$14951.54,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
22-683-4945,tertiary,11/17/2015,$76343.19,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
18-645-9047,intranet,9/28/2015,$72878.00,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
55-128-3448,Realigned,12/18/2015,$64888.50,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
73-452-3619,Proactive,1/1/2016,$98860.37,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
95-174-9266,Reactive,8/22/2016,$85144.83,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
93-225-4436,orchestration,12/9/2015,$24334.41,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
28-951-0713,Persevering,3/30/2016,$91040.71,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
64-389-4471,Inverse,8/16/2016,$37544.33,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
77-712-1079,Networked,11/28/2015,$33869.36,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
95-746-9761,parallelism,8/28/2016,$10401.20,libero nullam sit amet turpis elementum ligula vehicula consequat morbi
94-731-4421,product,4/17/2016,$21900.68,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
76-910-7886,Graphical User Interface,6/19/2016,$39961.18,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
82-816-2331,process improvement,4/12/2016,$9891.96,sem duis aliquam convallis nunc proin at turpis a pede posuere
98-047-8616,Fully-configurable,3/3/2016,$75237.01,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
90-645-2925,Organic,11/5/2015,$45716.53,faucibus cursus urna ut tellus nulla ut erat id mauris
92-834-9546,encompassing,7/30/2016,$71736.56,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
95-370-0996,utilisation,9/17/2015,$97934.59,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
47-064-5416,Networked,10/17/2015,$40689.62,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
35-246-6763,Implemented,7/14/2016,$96899.63,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
87-628-9487,Decentralized,7/16/2016,$7923.82,aliquet massa id lobortis convallis tortor risus dapibus augue vel
14-873-3472,software,8/8/2016,$42967.47,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
45-317-3142,Compatible,8/16/2016,$64188.29,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
79-799-2776,didactic,9/7/2016,$21532.62,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
79-628-9220,monitoring,11/13/2015,$98751.56,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
74-039-5047,asynchronous,8/7/2016,$43081.80,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
73-239-2053,portal,3/15/2016,$10184.83,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
35-636-1457,Automated,3/10/2016,$78620.83,pretium nisl ut volutpat sapien arcu sed augue aliquam erat
21-806-8689,24/7,5/16/2016,$43900.99,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
51-716-2057,Horizontal,3/3/2016,$68822.03,erat volutpat in congue etiam justo etiam pretium iaculis justo
27-851-9534,full-range,6/29/2016,$49903.54,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
67-894-4684,Cloned,10/25/2015,$36186.16,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
21-227-1699,demand-driven,11/4/2015,$75792.70,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
60-805-1116,attitude,11/24/2015,$89193.10,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
99-110-6573,national,11/6/2015,$5018.15,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
18-095-0793,context-sensitive,11/23/2015,$19964.85,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
69-334-3616,budgetary management,7/26/2016,$21920.56,pretium quis lectus suspendisse potenti in eleifend quam a odio in
06-092-0132,Synergistic,9/19/2015,$58979.48,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
44-795-4855,leverage,9/16/2015,$97591.01,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
51-651-3405,Multi-layered,11/10/2015,$4680.56,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
45-209-0218,contingency,4/30/2016,$95638.81,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
13-232-9963,Focused,7/24/2016,$85689.93,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
18-493-4961,website,3/24/2016,$36312.50,odio porttitor id consequat in consequat ut nulla sed accumsan
43-402-0211,intranet,11/8/2015,$88546.87,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
62-257-8732,software,3/8/2016,$65274.24,at turpis a pede posuere nonummy integer non velit donec diam
22-456-0920,didactic,6/15/2016,$71760.25,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
47-278-7274,success,6/3/2016,$48695.50,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
85-649-8652,client-driven,7/1/2016,$1944.97,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
12-164-7371,transitional,10/12/2015,$9822.63,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
53-547-3123,Stand-alone,1/21/2016,$505.11,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
36-388-6252,productivity,12/30/2015,$49634.84,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
57-428-2357,neural-net,10/26/2015,$78347.90,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
55-027-4116,website,7/27/2016,$2676.82,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
18-926-7420,Centralized,3/18/2016,$34236.06,eros elementum pellentesque quisque porta volutpat erat quisque erat eros
85-139-2307,Pre-emptive,8/29/2016,$82669.75,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
28-798-6426,leading edge,10/29/2015,$68725.06,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
85-373-4028,encompassing,10/15/2015,$91148.18,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
88-734-1678,Face to face,7/27/2016,$38040.91,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
74-445-5971,Compatible,5/29/2016,$1520.44,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis
89-908-8059,support,8/12/2016,$99927.41,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
59-965-6406,Devolved,9/15/2015,$40518.19,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
53-446-0005,bandwidth-monitored,6/20/2016,$45668.24,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
35-518-3570,motivating,4/30/2016,$73835.66,mi nulla ac enim in tempor turpis nec euismod scelerisque
79-613-7956,User-friendly,2/2/2016,$44940.95,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
38-493-1782,Managed,12/17/2015,$32541.36,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
75-075-4958,encryption,1/13/2016,$72968.36,est risus auctor sed tristique in tempus sit amet sem
44-010-1554,value-added,1/14/2016,$58096.37,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
55-441-3704,firmware,6/28/2016,$55925.28,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
75-480-6853,Reverse-engineered,10/21/2015,$25417.63,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
58-489-6827,Triple-buffered,5/14/2016,$64430.46,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
43-100-7750,bi-directional,6/18/2016,$80160.02,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
58-620-8306,Compatible,10/11/2015,$83630.02,ligula nec sem duis aliquam convallis nunc proin at turpis a pede
43-951-0270,open system,3/25/2016,$31717.66,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
47-313-8237,Open-architected,5/9/2016,$61770.66,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
37-118-7170,Mandatory,9/3/2016,$89911.93,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
16-448-1526,non-volatile,3/12/2016,$58190.68,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
34-273-0074,Innovative,8/20/2016,$56546.34,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
04-979-6707,needs-based,9/13/2015,$74064.69,velit eu est congue elementum in hac habitasse platea dictumst
61-121-0887,Optimized,1/13/2016,$1462.25,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
86-456-9833,analyzer,9/23/2015,$18038.62,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
93-090-3307,utilisation,8/11/2016,$95943.64,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
03-232-1568,Polarised,12/13/2015,$76380.92,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
19-632-0126,holistic,2/22/2016,$22977.29,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
26-230-6203,info-mediaries,12/12/2015,$63991.40,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac
77-540-9938,core,2/13/2016,$54139.58,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
79-411-7161,Open-architected,1/30/2016,$43623.65,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
74-162-1401,moderator,3/6/2016,$71945.34,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
15-165-7785,complexity,4/15/2016,$2951.48,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
49-275-3342,access,1/2/2016,$15083.27,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
