medium,payee_id,amount,transaction_date,description
eco-centric,02-792-4192,$36827.29,2/26/2016,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
Graphical User Interface,95-211-1692,$58074.76,1/26/2016,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
Assimilated,89-300-5956,$54326.30,11/18/2015,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
fault-tolerant,27-741-3681,$5475.35,1/30/2016,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
ability,77-779-2411,$87408.69,9/6/2016,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum
ability,90-732-4961,$45696.63,9/28/2015,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
global,95-126-9985,$94167.58,10/26/2015,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
toolset,36-452-3489,$48364.40,10/29/2015,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
task-force,01-228-6681,$85764.77,1/11/2016,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Programmable,30-119-0401,$24516.53,11/5/2015,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Organic,17-484-2023,$49221.80,3/28/2016,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
support,55-880-9390,$95503.50,3/5/2016,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
Optional,32-665-7898,$14071.32,10/7/2015,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
Profit-focused,66-931-2020,$63729.70,10/18/2015,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
open system,35-519-2117,$86771.23,9/9/2016,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
client-driven,69-036-8380,$69408.04,10/22/2015,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
secondary,95-270-3383,$19562.45,8/18/2016,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
Networked,27-246-4422,$62276.37,12/7/2015,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
executive,37-918-2611,$25144.16,11/19/2015,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
Open-architected,49-026-9130,$80278.65,3/22/2016,cum sociis natoque penatibus et magnis dis parturient montes nascetur
client-driven,41-085-0581,$41126.35,11/20/2015,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
Adaptive,69-446-4065,$30896.05,7/31/2016,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
attitude,41-350-7698,$54391.41,10/3/2015,a suscipit nulla elit ac nulla sed vel enim sit amet nunc
forecast,40-132-9730,$82877.57,5/30/2016,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Customer-focused,80-569-5531,$18808.46,10/29/2015,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
grid-enabled,79-605-8596,$88594.20,1/10/2016,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
Customizable,45-464-2575,$24844.96,1/11/2016,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
concept,96-036-6628,$43682.17,4/25/2016,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
human-resource,10-236-6622,$60152.66,2/5/2016,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
client-server,78-391-4603,$35666.34,6/6/2016,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
support,34-052-9902,$35706.26,11/2/2015,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
infrastructure,65-709-1640,$15853.93,7/30/2016,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
transitional,19-162-2912,$14832.97,12/23/2015,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat
Ergonomic,54-231-1340,$16751.35,6/23/2016,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
budgetary management,50-015-1823,$28051.39,12/19/2015,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
radical,97-625-7401,$35273.65,8/18/2016,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
Synergized,49-669-4381,$55981.01,2/13/2016,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
architecture,49-132-9407,$80229.26,3/11/2016,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
optimizing,59-245-2181,$49230.13,4/3/2016,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
customer loyalty,86-538-8274,$77710.82,2/19/2016,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
Re-engineered,02-792-6859,$71120.93,7/26/2016,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
fresh-thinking,40-973-1743,$51175.89,7/13/2016,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
Multi-layered,83-575-8676,$55434.38,10/13/2015,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
synergy,30-378-4674,$92183.49,4/25/2016,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
Reactive,15-492-1631,$80482.62,4/21/2016,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
Horizontal,54-011-7041,$14392.17,7/21/2016,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
regional,83-254-5734,$93306.43,4/22/2016,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
Re-contextualized,53-399-6986,$98593.47,6/8/2016,in leo maecenas pulvinar lobortis est phasellus sit amet erat
throughput,60-597-0121,$27996.13,9/6/2016,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
Quality-focused,05-548-3971,$56742.20,5/29/2016,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
forecast,44-480-3114,$98884.31,10/10/2015,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
application,18-310-7538,$18232.63,7/18/2016,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
