medium,transaction_date,amount,description
array,10/1/2015,$14058.48,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
synergy,10/6/2015,$88117.14,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
analyzing,5/19/2016,$79506.58,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
alliance,7/18/2016,$60158.12,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
radical,5/6/2016,$56976.40,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
background,7/5/2016,$8641.10,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
implementation,2/23/2016,$48804.24,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
synergy,11/7/2015,$45067.58,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
systemic,11/5/2015,$91403.15,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit
encompassing,10/4/2015,$52642.52,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
database,2/24/2016,$32759.69,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
background,12/11/2015,$75610.02,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
infrastructure,10/10/2015,$57006.45,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
matrix,8/8/2016,$75749.02,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
disintermediate,1/8/2016,$13356.20,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
Upgradable,2/6/2016,$55718.95,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
archive,3/29/2016,$7417.41,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
Enterprise-wide,12/16/2015,$12234.90,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
Decentralized,10/13/2015,$69369.17,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
architecture,10/15/2015,$33340.67,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
database,3/25/2016,$46770.58,elit proin risus praesent lectus vestibulum quam sapien varius ut
Organized,8/15/2016,$68018.43,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
Implemented,3/28/2016,$93193.57,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
dynamic,11/6/2015,$7061.45,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
Operative,9/25/2015,$60322.07,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
holistic,5/26/2016,$62554.27,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
implementation,6/14/2016,$1053.24,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
neural-net,11/10/2015,$87993.67,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
Graphic Interface,8/23/2016,$40215.45,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
Inverse,11/28/2015,$87052.54,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
solution,5/10/2016,$52436.32,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
content-based,8/8/2016,$36994.49,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
bi-directional,2/7/2016,$99794.54,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
6th generation,11/14/2015,$6158.83,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at
challenge,3/18/2016,$93236.37,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
time-frame,2/15/2016,$66882.49,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
encryption,9/30/2015,$51219.97,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
Triple-buffered,11/2/2015,$82590.98,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
